Categoria,Ícone Sugerido,Classe (para mod_links),Observações
Geral/Interface/Menu,Casa,fas fa-home,Página inicial.
Geral/Interface/Menu,Informação,fas fa-info-circle,Informações gerais.
Geral/Interface/Menu,Aviso,fas fa-exclamation-triangle,Alertas ou avisos.
Geral/Interface/Menu,Sucesso/Confirmar,fas fa-check-circle,Indicação de sucesso ou confirmação.
Geral/Interface/Menu,Erro/Fechar,fas fa-times-circle,Indicação de erro ou para fechar.
Geral/Interface/Menu,Pesquisar,fas fa-search,Funcionalidades de busca.
Geral/Interface/Menu,Configurações,fas fa-cog,"Configurações, engrenagem."
Geral/Interface/Menu,Configurações (alt),fas fa-cogs,Mais de uma engrenagem.
Geral/Interface/Menu,Menu Hamburguer,fas fa-bars,Para menus responsivos.
Geral/Interface/Menu,Usuário/Pessoa,fas fa-user,"Perfil, usuário individual."
Geral/Interface/Menu,Usuários/Grupo,fas fa-users,"Mais de um usuário, grupo."
Geral/Interface/Menu,Editar,fas fa-edit,Funcionalidades de edição.
Geral/Interface/Menu,Deletar/Lixo,fas fa-trash,Funcionalidades de exclusão.
Geral/Interface/Menu,Salvar,fas fa-save,Salvar dados.
Geral/Interface/Menu,Carregar (upload),fas fa-upload,Envio de arquivos.
Geral/Interface/Menu,Baixar (download),fas fa-download,Download de arquivos.
Geral/Interface/Menu,Imprimir,fas fa-print,Impressão.
Geral/Interface/Menu,Olho (ver/esconder),fas fa-eye,Mostrar/esconder.
Geral/Interface/Menu,Bloquear,fas fa-lock,"Conteúdo bloqueado, segurança."
Geral/Interface/Menu,Desbloquear,fas fa-unlock,Conteúdo desbloqueado.
Geral/Interface/Menu,Link,fas fa-link,Links externos ou internos.
Geral/Interface/Menu,Pastas,fas fa-folder,Pastas de arquivos.
Geral/Interface/Menu,Arquivo,fas fa-file,Arquivos genéricos.
Geral/Interface/Menu,Câmera,fas fa-camera,Funcionalidades de câmera ou fotos.
Geral/Interface/Menu,Imagem,fas fa-image,Imagens.
Geral/Interface/Menu,Vídeo,fas fa-video,Vídeos.
Geral/Interface/Menu,Carrinho de compras,fas fa-shopping-cart,E-commerce.
Geral/Interface/Menu,Estrela,fas fa-star,"Avaliações, favoritos, destaque."
Geral/Interface/Menu,Coração,fas fa-heart,"Curtir, favorito, amor."
Geral/Interface/Menu,Polegar para cima,fas fa-thumbs-up,"Curtir, aprovar."
Geral/Interface/Menu,Polegar para baixo,fas fa-thumbs-down,"Não curtir, desaprovar."
Geral/Interface/Menu,Sino/Notificação,fas fa-bell,Notificações.
Geral/Interface/Menu,Calendário,fas fa-calendar-alt,"Datas, agendamentos."
Geral/Interface/Menu,Relógio,fas fa-clock,"Horários, tempo."
Geral/Interface/Menu,Localização/Pino,fas fa-map-marker-alt,"Endereços, mapas."
Geral/Interface/Menu,Telefone,fas fa-phone,Contato telefônico.
Geral/Interface/Menu,E-mail,fas fa-envelope,Contato por e-mail.
Geral/Interface/Menu,Lápis,fas fa-pencil-alt,"Escrever, anotar."
Geral/Interface/Menu,Ajuda,fas fa-question-circle,"Dúvidas, ajuda."
Geral/Interface/Menu,Fechar (X),fas fa-times,"Fechar modal, limpar."
Geral/Interface/Menu,Check,fas fa-check,"Confirmar, OK."
Geral/Interface/Menu,Lupa (+),fas fa-search-plus,Zoom in.
Geral/Interface/Menu,Lupa (-),fas fa-search-minus,Zoom out.
Geral/Interface/Menu,Ferramenta,fas fa-wrench,"Ferramentas, manutenção."
Geral/Interface/Menu,Rss Feed,fas fa-rss-square,Feeds de notícias.
Geral/Interface/Menu,QR Code,fas fa-qrcode,Código QR.
Setas/Direção,Seta para a direita,fas fa-arrow-right,"Navegação, próximo."
Setas/Direção,Seta para a esquerda,fas fa-arrow-left,"Navegação, anterior."
Setas/Direção,Seta para cima,fas fa-arrow-up,Rolar para cima.
Setas/Direção,Seta para baixo,fas fa-arrow-down,Rolar para baixo.
Setas/Direção,Chevron direita,fas fa-chevron-right,"Indicador de sub-menu, próximo."
Setas/Direção,Chevron esquerda,fas fa-chevron-left,"Indicador de sub-menu, anterior."
Setas/Direção,Chevron cima,fas fa-chevron-up,"Colapsar, expandir."
Setas/Direção,Chevron baixo,fas fa-chevron-down,"Expandir, colapsar."
Setas/Direção,Seta Circular (Esquerda),fas fa-arrow-circle-left,Voltar.
Setas/Direção,Seta Circular (Direita),fas fa-arrow-circle-right,Avançar.
Setas/Direção,Seta Circular (Cima),fas fa-arrow-circle-up,Rolar para o topo.
Setas/Direção,Seta Circular (Baixo),fas fa-arrow-circle-down,Rolar para baixo.
Negócios/Documentos,Gráfico de barras,fas fa-chart-bar,"Estatísticas, relatórios."
Negócios/Documentos,Gráfico de linha,fas fa-chart-line,"Tendências, crescimento."
Negócios/Documentos,Gráfico de pizza,fas fa-chart-pie,Proporções.
Negócios/Documentos,Maleta,fas fa-briefcase,"Negócios, profissional."
Negócios/Documentos,Dinheiro/Cifrão,fas fa-dollar-sign,"Finanças, valores."
Negócios/Documentos,Banco,fas fa-university,Instituições financeiras.
Negócios/Documentos,Contrato/Assinatura,fas fa-signature,"Assinaturas, acordos."
Negócios/Documentos,Recibo/Fatura,fas fa-receipt,"Notas fiscais, recibos."
Negócios/Documentos,Livro de Notas,fas fa-book-open,"Conhecimento, documentação."
Negócios/Documentos,Selo/Carimbo,fas fa-stamp,"Aprovação, oficial."
Negócios/Documentos,Porcentagem,fas fa-percent,"Descontos, taxas."
Negócios/Documentos,Cálculo,fas fa-calculator,Cálculos.
Mídia/Redes Sociais,Instagram,fab fa-instagram,"Marca, use fab."
Mídia/Redes Sociais,Facebook,fab fa-facebook-f,"Marca, use fab."
Mídia/Redes Sociais,Twitter,fab fa-twitter,"Marca, use fab."
Mídia/Redes Sociais,YouTube,fab fa-youtube,"Marca, use fab."
Mídia/Redes Sociais,LinkedIn,fab fa-linkedin-in,"Marca, use fab."
Mídia/Redes Sociais,WhatsApp,fab fa-whatsapp,"Marca, use fab."
Mídia/Redes Sociais,Google,fab fa-google,"Marca, use fab."
Mídia/Redes Sociais,Apple,fab fa-apple,"Marca, use fab."
Mídia/Redes Sociais,Android,fab fa-android,"Marca, use fab."
Mídia/Redes Sociais,Pinterest,fab fa-pinterest,"Marca, use fab."
Mídia/Redes Sociais,Reddit,fab fa-reddit,"Marca, use fab."
Mídia/Redes Sociais,Snapchat,fab fa-snapchat,"Marca, use fab."
Mídia/Redes Sociais,Spotify,fab fa-spotify,"Marca, use fab."
Mídia/Redes Sociais,Twitch,fab fa-twitch,"Marca, use fab."
Mídia/Redes Sociais,Vimeo,fab fa-vimeo,"Marca, use fab."
Saúde/Médico,Estetoscópio,fas fa-stethoscope,"Saúde, medicina."
Saúde/Médico,Médico,fas fa-user-md,"Médico, profissional da saúde."
Saúde/Médico,Hospital,fas fa-hospital,"Hospitais, clínicas."
Saúde/Médico,Ambulância,fas fa-ambulance,Emergência médica.
Saúde/Médico,Cruz (Médica),fas fa-plus-square,Para cruz simples.
Saúde/Médico,Cápsula,fas fa-capsules,Medicamentos.
Saúde/Médico,Seringa,fas fa-syringe,"Vacinas, injeções."
